epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1987,2.26358,6.99141,2.39398,0.38818,0.16667,0.04773,0.02027,2.17743,9.55915,3.02255,3.845e-05,3.845e-05,3.845e-05
2,26.4179,2.19506,6.687,2.34265,0.02647,0.16667,0.1684,0.0842,2.18952,10.4899,3.10633,8.31943e-05,8.31943e-05,8.31943e-05
3,28.6593,2.072,5.26393,2.30327,0.03715,0.21429,0.04451,0.02571,2.16267,17.1578,2.82083,0.000126416,0.000126416,0.000126416
4,31.1442,1.80826,4.44345,2.04535,0.52627,0.04762,0.08041,0.03538,1.94065,15.9753,2.40131,0.000168115,0.000168115,0.000168115
5,33.7447,1.90105,4.21016,2.12327,0.09852,0.42857,0.12919,0.07388,2.16096,12.3673,2.48706,0.000208291,0.000208291,0.000208291
6,35.8784,1.85558,3.90117,2.07213,0.35802,0.2619,0.36971,0.119,2.42321,9.74667,2.54262,0.000246945,0.000246945,0.000246945
7,38.0637,1.75149,3.59292,1.95758,0.48083,0.30952,0.33174,0.1423,2.40668,9.60197,2.68621,0.000284076,0.000284076,0.000284076
8,40.2639,1.81504,3.40051,1.98121,0.35967,0.42857,0.31585,0.13814,2.36731,6.35768,2.71126,0.000319685,0.000319685,0.000319685
9,42.313,1.78998,3.19849,1.95678,0.53724,0.47619,0.39157,0.18045,2.103,4.50924,2.39029,0.000353771,0.000353771,0.000353771
10,44.9839,1.73143,2.86218,1.90443,0.52349,0.41302,0.34965,0.19508,2.19476,3.83025,2.3585,0.000386334,0.000386334,0.000386334
11,47.4631,1.62723,2.70556,1.82739,0.15162,0.2619,0.24319,0.16183,2.15818,4.5811,2.36314,0.000417375,0.000417375,0.000417375
12,49.5109,1.7197,2.45709,1.87762,0.11986,0.38095,0.07683,0.05193,2.64195,5.43374,3.10553,0.000446893,0.000446893,0.000446893
13,51.6509,1.65552,2.35527,1.87717,0.00504,0.54762,0.01691,0.00611,3.09205,6.10466,3.18082,0.000474888,0.000474888,0.000474888
14,53.6875,1.70874,2.31778,1.92455,0.28075,0.04762,0.0631,0.02198,3.22087,7.45617,3.11816,0.000501361,0.000501361,0.000501361
15,55.704,1.70292,2.33022,1.92621,0.65367,0.04762,0.07072,0.03069,2.65271,7.32655,2.59862,0.000526311,0.000526311,0.000526311
16,58.511,1.62685,2.19773,1.85742,0.58408,0.16667,0.22208,0.09852,2.61517,5.38538,2.79621,0.000549739,0.000549739,0.000549739
17,60.6825,1.61336,2.13249,1.82964,0.4931,0.16667,0.12875,0.02221,2.58039,5.44359,2.79704,0.000565984,0.000565984,0.000565984
18,62.7347,1.55427,2.0114,1.75745,0.49855,0.17332,0.1474,0.03584,2.42591,3.48539,2.73344,0.000553296,0.000553296,0.000553296
19,64.7642,1.48711,1.91414,1.67226,0.25851,0.26843,0.15864,0.04817,2.38613,3.14427,2.7182,0.000540607,0.000540607,0.000540607
20,66.836,1.53616,1.77013,1.69501,0.70843,0.21247,0.23991,0.05003,2.53143,2.9151,2.8624,0.000527919,0.000527919,0.000527919
21,68.8078,1.54409,1.59795,1.6796,0.70492,0.21084,0.23403,0.06509,2.47513,2.90342,3.03504,0.00051523,0.00051523,0.00051523
22,71.7296,1.47283,1.64058,1.69319,0.46412,0.09524,0.11167,0.03976,2.66897,2.80597,3.28143,0.000502541,0.000502541,0.000502541
23,73.8653,1.44245,1.67147,1.62932,0.35723,0.47619,0.2631,0.0999,2.58861,2.83277,3.14518,0.000489853,0.000489853,0.000489853
24,75.9082,1.42986,1.55229,1.59956,0.80196,0.2995,0.30093,0.14543,2.45574,2.62526,2.84582,0.000477165,0.000477165,0.000477165
25,77.8657,1.37287,1.45946,1.59881,0.77018,0.21429,0.30179,0.15282,2.50394,2.63447,2.94636,0.000464476,0.000464476,0.000464476
26,79.9705,1.42239,1.62868,1.64736,0.669,0.33333,0.45631,0.21613,2.16354,2.85989,2.71727,0.000451787,0.000451787,0.000451787
27,82.0957,1.33243,1.47363,1.57708,0.54036,0.54762,0.44088,0.19345,2.07031,2.62463,2.68158,0.000439099,0.000439099,0.000439099
28,84.8893,1.30557,1.35464,1.52532,0.4117,0.7619,0.39325,0.12691,2.31563,2.62071,2.751,0.000426411,0.000426411,0.000426411
29,86.9875,1.30926,1.40715,1.59999,0.79642,0.42857,0.47096,0.18927,2.42281,3.06223,2.84231,0.000413722,0.000413722,0.000413722
30,89.0903,1.31934,1.40785,1.57213,0.33137,0.54961,0.45151,0.12843,2.39947,2.60606,2.73571,0.000401033,0.000401033,0.000401033
31,91.1299,1.31186,1.42606,1.56571,0.31441,0.68171,0.3676,0.13834,2.43236,2.31502,2.74325,0.000388345,0.000388345,0.000388345
32,93.239,1.22743,1.1714,1.49981,0.36799,0.47619,0.41506,0.18166,2.36548,2.36033,2.63865,0.000375656,0.000375656,0.000375656
